course_code,skill_uri,skill_label,concept_type,rrf_score,rerank_score,combined_score,tier,confidence_level,decision,reject_reason,evidence_ids,extraction_sources
SC6019,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01,data science,knowledge,0.426323,0.967314,0.805017,PRIMARY,HIGH,accepted,,SC6019_MOTA_MAIN;SC6019_MUCTIEU_MT1;SC6019_MUCTIEU_MT2;SC6019_MUCTIEU_MT4;SC6019_CLO_L1;SC6019_CLO_L2;SC6019_CLO_L3;SC6019_CLO_L4;SC6019_BAIHOC_L14;SC6019_BAIHOC_L15;SC6019_BAIHOC_L18;SC6019_BAIHOC_L19;SC6019_BAIHOC_L20;SC6019_BAIHOC_L21;SC6019_BAIHOC_L23;SC6019_BAIHOC_L24;SC6019_BAIHOC_L25,escoxlmr_skill;escoxlmr_knowledge
SC6019,http://data.europa.eu/esco/skill/38d49d88-9069-467b-b29e-3cae739bdd4d,build predictive models,skill,0.329161,0.990760,0.792280,PRIMARY,HIGH,accepted,,SC6019_MOTA_MAIN;SC6019_MUCTIEU_MT1;SC6019_MUCTIEU_MT2;SC6019_MUCTIEU_MT4;SC6019_CLO_L1;SC6019_CLO_L2;SC6019_CLO_L3;SC6019_CLO_L4;SC6019_BAIHOC_L14;SC6019_BAIHOC_L15;SC6019_BAIHOC_L16;SC6019_BAIHOC_L18;SC6019_BAIHOC_L19;SC6019_BAIHOC_L20;SC6019_BAIHOC_L21;SC6019_BAIHOC_L22;SC6019_BAIHOC_L24;SC6019_BAIHOC_L25,escoxlmr_knowledge;escoxlmr_skill
SC6019,http://data.europa.eu/esco/skill/b363bb5f-2c79-40af-94da-33e06f9dee9f,apply blended learning,skill,0.372991,0.990702,0.780389,PRIMARY,HIGH,accepted,,SC6019_MOTA_MAIN;SC6019_MUCTIEU_MT1;SC6019_MUCTIEU_MT2;SC6019_MUCTIEU_MT4;SC6019_CLO_L1;SC6019_CLO_L2;SC6019_CLO_L3;SC6019_CLO_L4;SC6019_BAIHOC_L14;SC6019_BAIHOC_L18;SC6019_BAIHOC_L19;SC6019_BAIHOC_L20;SC6019_BAIHOC_L23;SC6019_BAIHOC_L24;SC6019_BAIHOC_L25,escoxlmr_skill;escoxlmr_knowledge
SC6019,http://data.europa.eu/esco/skill/382c11ed-20d5-4ae7-b60e-15fec527fa6c,apply statistical analysis techniques,skill,0.412644,0.989544,0.791474,PRIMARY,HIGH,accepted,,SC6019_MOTA_MAIN;SC6019_MUCTIEU_MT1;SC6019_MUCTIEU_MT2;SC6019_MUCTIEU_MT4;SC6019_CLO_L1;SC6019_CLO_L2;SC6019_CLO_L3;SC6019_CLO_L4;SC6019_BAIHOC_L14;SC6019_BAIHOC_L15;SC6019_BAIHOC_L16;SC6019_BAIHOC_L18;SC6019_BAIHOC_L19;SC6019_BAIHOC_L20;SC6019_BAIHOC_L21;SC6019_BAIHOC_L22;SC6019_BAIHOC_L24;SC6019_BAIHOC_L25,escoxlmr_skill;escoxlmr_knowledge
SC6019,http://data.europa.eu/esco/skill/fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5,data models,knowledge,0.268683,0.969967,0.759581,PRIMARY,HIGH,accepted,,SC6019_MOTA_MAIN;SC6019_MUCTIEU_MT1;SC6019_MUCTIEU_MT2;SC6019_MUCTIEU_MT4;SC6019_CLO_L1;SC6019_CLO_L2;SC6019_CLO_L4;SC6019_BAIHOC_L14;SC6019_BAIHOC_L15;SC6019_BAIHOC_L16;SC6019_BAIHOC_L18;SC6019_BAIHOC_L19;SC6019_BAIHOC_L20;SC6019_BAIHOC_L21;SC6019_BAIHOC_L22;SC6019_BAIHOC_L24;SC6019_BAIHOC_L25,escoxlmr_skill;escoxlmr_knowledge
SC6019,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,data mining,knowledge,0.404529,0.918524,0.764325,PRIMARY,HIGH,accepted,,SC6019_MOTA_MAIN;SC6019_MUCTIEU_MT1;SC6019_MUCTIEU_MT2;SC6019_MUCTIEU_MT4;SC6019_CLO_L1;SC6019_CLO_L2;SC6019_CLO_L3;SC6019_CLO_L4;SC6019_BAIHOC_L14;SC6019_BAIHOC_L15;SC6019_BAIHOC_L18;SC6019_BAIHOC_L19;SC6019_BAIHOC_L20;SC6019_BAIHOC_L21;SC6019_BAIHOC_L23;SC6019_BAIHOC_L24;SC6019_BAIHOC_L25,escoxlmr_skill;escoxlmr_knowledge
SC6019,http://data.europa.eu/esco/skill/68ef0e4d-5542-4e64-84f4-752cce5a3c22,statistical modeling techniques,knowledge,0.256240,0.986611,0.767500,PRIMARY,HIGH,accepted,,SC6019_MOTA_MAIN;SC6019_MUCTIEU_MT1;SC6019_MUCTIEU_MT2;SC6019_MUCTIEU_MT4;SC6019_CLO_L1;SC6019_CLO_L2;SC6019_CLO_L4;SC6019_BAIHOC_L14;SC6019_BAIHOC_L15;SC6019_BAIHOC_L16;SC6019_BAIHOC_L18;SC6019_BAIHOC_L19;SC6019_BAIHOC_L20;SC6019_BAIHOC_L21;SC6019_BAIHOC_L22;SC6019_BAIHOC_L25,escoxlmr_knowledge;escoxlmr_skill
SC6019,http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080,deep learning,knowledge,0.467848,0.864440,0.745463,PRIMARY,HIGH,accepted,,SC6019_MOTA_MAIN;SC6019_MUCTIEU_MT1;SC6019_MUCTIEU_MT2;SC6019_MUCTIEU_MT3;SC6019_MUCTIEU_MT4;SC6019_CLO_L1;SC6019_CLO_L2;SC6019_CLO_L3;SC6019_CLO_L4;SC6019_BAIHOC_L14;SC6019_BAIHOC_L18;SC6019_BAIHOC_L19;SC6019_BAIHOC_L20;SC6019_BAIHOC_L23;SC6019_BAIHOC_L24;SC6019_BAIHOC_L25,escoxlmr_skill;escoxlmr_knowledge
SC6019,http://data.europa.eu/esco/skill/1b70a55d-b8a4-49fc-96c6-15ab4cff2522,use data processing techniques,skill,0.214051,0.972311,0.744833,PRIMARY,HIGH,accepted,,SC6019_MOTA_MAIN;SC6019_MUCTIEU_MT1;SC6019_MUCTIEU_MT2;SC6019_MUCTIEU_MT3;SC6019_MUCTIEU_MT4;SC6019_CLO_L1;SC6019_CLO_L2;SC6019_CLO_L3;SC6019_CLO_L4;SC6019_BAIHOC_L14;SC6019_BAIHOC_L15;SC6019_BAIHOC_L16;SC6019_BAIHOC_L18;SC6019_BAIHOC_L19;SC6019_BAIHOC_L20;SC6019_BAIHOC_L21;SC6019_BAIHOC_L22;SC6019_BAIHOC_L25,escoxlmr_knowledge;escoxlmr_skill
SC6019,http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb,business process modelling,knowledge,0.198868,0.988966,0.751937,PRIMARY,HIGH,accepted,,SC6019_MOTA_MAIN;SC6019_MUCTIEU_MT1;SC6019_MUCTIEU_MT2;SC6019_MUCTIEU_MT3;SC6019_MUCTIEU_MT4;SC6019_CLO_L1;SC6019_CLO_L2;SC6019_CLO_L3;SC6019_CLO_L4;SC6019_BAIHOC_L14;SC6019_BAIHOC_L15;SC6019_BAIHOC_L16;SC6019_BAIHOC_L19;SC6019_BAIHOC_L20;SC6019_BAIHOC_L21;SC6019_BAIHOC_L22;SC6019_BAIHOC_L25,escoxlmr_knowledge;escoxlmr_skill
