course_code,skill_uri,skill_label,concept_type,rrf_score,rerank_score,combined_score,tier,confidence_level,decision,reject_reason,evidence_ids,extraction_sources
IT6204,http://data.europa.eu/esco/skill/8ff015a0-98ea-4d80-a23e-1f68110a919e,software design methodologies,knowledge,0.269184,0.977490,0.764998,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_CLO_L1;IT6204_CLO_L3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L14;IT6204_BAIHOC_L16;IT6204_BAIHOC_L18;IT6204_BAIHOC_L19;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/84f58e3d-8669-4d83-8c1d-5dd1e73a654f,create database diagrams,skill,0.233209,0.978331,0.754794,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_CLO_L3;IT6204_BAIHOC_L14;IT6204_BAIHOC_L15;IT6204_BAIHOC_L16;IT6204_BAIHOC_L17;IT6204_BAIHOC_L18;IT6204_BAIHOC_L19,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/12274664-b642-4945-b88f-d7787dc3c9dd,design interaction model,skill,0.219024,0.976776,0.749450,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_CLO_L2;IT6204_CLO_L3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L15;IT6204_BAIHOC_L17;IT6204_BAIHOC_L19;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/fae27053-8924-4bfd-b565-c9fe502044c9,system design,knowledge,0.253341,0.986973,0.741883,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_CLO_L1;IT6204_CLO_L3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L14;IT6204_BAIHOC_L15;IT6204_BAIHOC_L16;IT6204_BAIHOC_L18;IT6204_BAIHOC_L19;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/a47d194d-0ffd-4aaa-b695-fbbe0255000e,design information system,skill,0.281350,0.980480,0.745741,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_CLO_L1;IT6204_CLO_L3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L14;IT6204_BAIHOC_L15;IT6204_BAIHOC_L16;IT6204_BAIHOC_L19;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/1019423b-3368-4f83-b24f-19e5fa23e816,software UI design patterns,knowledge,0.244528,0.950832,0.738941,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_CLO_L3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L14;IT6204_BAIHOC_L19;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/2857540c-180b-4208-9127-e94a01871966,align software with system architectures,skill,0.213522,0.985011,0.753564,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_CLO_L1;IT6204_CLO_L3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L14;IT6204_BAIHOC_L15;IT6204_BAIHOC_L16;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/c544a9f3-5945-4b54-afed-de0697852817,report analysis results,skill,0.156936,0.988868,0.739289,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L14;IT6204_BAIHOC_L16;IT6204_BAIHOC_L17;IT6204_BAIHOC_L18,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/de0be6e8-644c-4cc9-9c8d-925dd98dda56,software interaction design,knowledge,0.177143,0.991295,0.747049,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_CLO_L3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L17;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/ed8de897-adbe-4f0e-b4d2-534953e64c72,integrate system components,skill,0.174103,0.988279,0.744027,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_CLO_L1;IT6204_CLO_L3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L14;IT6204_BAIHOC_L16;IT6204_BAIHOC_L17;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/7364cc39-b9c0-449f-9416-57723e2fd9c4,use methodologies for user-centered design,skill,0.161032,0.992201,0.742851,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_CLO_L3;IT6204_BAIHOC_L14;IT6204_BAIHOC_L19;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363,interact with users to gather requirements,skill,0.174783,0.993431,0.722836,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G3;IT6204_CLO_L1;IT6204_CLO_L2;IT6204_BAIHOC_L12;IT6204_BAIHOC_L14;IT6204_BAIHOC_L15;IT6204_BAIHOC_L16;IT6204_BAIHOC_L17;IT6204_BAIHOC_L18;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/fd33c66c-70c4-40e6-b87c-5495bd3bf26e,design user interface,skill,0.208080,0.978267,0.722211,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_CLO_L3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L17;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/48db96bf-3314-45c6-bad8-fdb6e20e5639,data engineering,knowledge,0.239489,0.963974,0.721629,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L14;IT6204_BAIHOC_L16;IT6204_BAIHOC_L17;IT6204_BAIHOC_L18;IT6204_BAIHOC_L19,escoxlmr_knowledge;escoxlmr_skill
IT6204,http://data.europa.eu/esco/skill/2d6d4784-0992-48e7-b100-22d7229b3f0a,translate requirements into visual design,skill,0.279996,0.906840,0.718787,PRIMARY,HIGH,accepted,,IT6204_MOTA_MAIN;IT6204_MUCTIEU_MT1;IT6204_MUCTIEU_G1;IT6204_MUCTIEU_G2;IT6204_MUCTIEU_G3;IT6204_CLO_L1;IT6204_CLO_L3;IT6204_BAIHOC_L12;IT6204_BAIHOC_L14;IT6204_BAIHOC_L15;IT6204_BAIHOC_L16;IT6204_BAIHOC_L17;IT6204_BAIHOC_L18;IT6204_BAIHOC_L19;IT6204_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
