course_code,skill_uri,skill_label,concept_type,rrf_score,rerank_score,combined_score,tier,confidence_level,decision,reject_reason,evidence_ids,extraction_sources
BM6001_BS,http://data.europa.eu/esco/skill/e5609f89-0daf-40bb-bd6b-94f5d7498131,ICT market,knowledge,0.243635,0.929951,0.699056,PRIMARY,HIGH,accepted,,BM6001_BS_MOTA_MAIN;BM6001_BS_CLO_None;BM6001_BS_BAIHOC_L33;BM6001_BS_BAIHOC_L34;BM6001_BS_BAIHOC_L20;BM6001_BS_BAIHOC_L35,escoxlmr_knowledge;escoxlmr_skill
BM6001_BS,http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f,perform data analysis,skill,0.140668,0.959153,0.688608,PRIMARY,HIGH,accepted,,BM6001_BS_MOTA_MAIN;BM6001_BS_CLO_None;BM6001_BS_BAIHOC_L31;BM6001_BS_BAIHOC_L35,escoxlmr_knowledge;escoxlmr_skill
BM6001_BS,http://data.europa.eu/esco/skill/27ed854c-15b8-4ba2-90e9-ae888a219703,perform business analysis,skill,0.217360,0.908455,0.676126,PRIMARY,HIGH,accepted,,BM6001_BS_MOTA_MAIN;BM6001_BS_CLO_None;BM6001_BS_BAIHOC_L33;BM6001_BS_BAIHOC_L34;BM6001_BS_BAIHOC_L20;BM6001_BS_BAIHOC_L35,escoxlmr_knowledge;escoxlmr_skill
BM6001_BS,http://data.europa.eu/esco/skill/be727774-46d7-43d7-aee9-1a51b5cd8c71,carry out statistical forecasts,skill,0.103803,0.928551,0.656127,PRIMARY,HIGH,accepted,,BM6001_BS_MOTA_MAIN;BM6001_BS_CLO_None;BM6001_BS_BAIHOC_L31;BM6001_BS_BAIHOC_L33;BM6001_BS_BAIHOC_L34,escoxlmr_knowledge;escoxlmr_skill
BM6001_BS,http://data.europa.eu/esco/skill/cdd8b6b2-2fd9-453c-8d62-8a1dc6efcd49,systems theory,knowledge,0.143609,0.859763,0.644917,PRIMARY,HIGH,accepted,,BM6001_BS_MOTA_MAIN;BM6001_BS_BAIHOC_L33;BM6001_BS_BAIHOC_L34,escoxlmr_knowledge
BM6001_BS,http://data.europa.eu/esco/skill/628664ec-a63b-4486-8d65-02aba81c82a0,ICT sales methodologies,knowledge,0.115541,0.833258,0.617943,SECONDARY,MED,accepted,,BM6001_BS_MOTA_MAIN;BM6001_BS_BAIHOC_L33;BM6001_BS_BAIHOC_L34;BM6001_BS_BAIHOC_L20;BM6001_BS_BAIHOC_L35,escoxlmr_knowledge
BM6001_BS,http://data.europa.eu/esco/skill/6360a934-cc87-4954-9656-b32db20592e3,quantitative analysis,knowledge,0.130633,0.777130,0.583181,SECONDARY,MED,accepted,,BM6001_BS_MOTA_MAIN;BM6001_BS_CLO_None;BM6001_BS_BAIHOC_L33;BM6001_BS_BAIHOC_L34;BM6001_BS_BAIHOC_L20,escoxlmr_knowledge;escoxlmr_skill
BM6001_BS,http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9,business analytics,knowledge,0.121396,0.782234,0.583983,SECONDARY,MED,accepted,,BM6001_BS_MOTA_MAIN;BM6001_BS_CLO_None;BM6001_BS_BAIHOC_L34;BM6001_BS_BAIHOC_L20;BM6001_BS_BAIHOC_L35,escoxlmr_knowledge;escoxlmr_skill
BM6001_BS,http://data.europa.eu/esco/skill/a846cb9e-c152-41e7-bd34-45e7ff941e3b,legal requirements of ICT products,knowledge,0.156438,0.753691,0.574515,SECONDARY,MED,accepted,,BM6001_BS_MOTA_MAIN;BM6001_BS_BAIHOC_L33;BM6001_BS_BAIHOC_L34;BM6001_BS_BAIHOC_L20;BM6001_BS_BAIHOC_L35,escoxlmr_knowledge
BM6001_BS,http://data.europa.eu/esco/skill/cbe2c304-1e7d-489a-97d9-a7d3e37a9db6,apply ICT systems theory,skill,0.142318,0.671406,0.487680,OPTIONAL,LOW,accepted,,BM6001_BS_MOTA_MAIN;BM6001_BS_CLO_None;BM6001_BS_BAIHOC_L33;BM6001_BS_BAIHOC_L34,escoxlmr_knowledge;escoxlmr_skill
