course_code,skill_uri,skill_label,concept_type,rrf_score,rerank_score,combined_score,tier,confidence_level,decision,reject_reason,evidence_ids,extraction_sources
BM6091_BS,http://data.europa.eu/esco/skill/da6393d5-a53c-4863-abc7-51f36281d74e,lean project management,knowledge,0.633768,0.542691,0.545014,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,knowledge,0.607015,0.524985,0.524594,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/c241f5a5-e23f-47bf-ad24-d83ea0010166,ensure proper document management,skill,0.358264,0.593510,0.497936,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38;BM6091_BS_BAIHOC_L31,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/d5a59ca8-2e91-472e-8571-d12ce4478679,Process-based management,knowledge,0.583869,0.339157,0.387570,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/c3687b34-fe53-4db2-ad1b-5055a6c5b6fd,organise project meetings,skill,0.527720,0.280178,0.329441,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/22902bf9-cc3f-495b-811a-c441e28e23f6,manage project information,skill,0.615634,0.233538,0.323167,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L35;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/72a74f69-5cf1-43c5-99b9-62a444578919,engineering processes,knowledge,0.266793,0.371986,0.315428,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9,ICT project management methodologies,knowledge,0.610504,0.220887,0.312772,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,project management,knowledge,0.657304,0.181919,0.299535,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead,create project specifications,skill,0.583986,0.138598,0.247215,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L35;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/5d9e766b-8f17-4e17-bfab-3bb0e0719791,define quality standards,skill,0.245160,,0.220160,low_confidence,LOW,rejected,below_overflow_threshold,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37,escoxlmr_skill;escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/c7cc6dc5-d56b-4323-8e5c-47c4022f615f,quality assurance methodologies,knowledge,0.241363,,0.216363,low_confidence,LOW,rejected,below_overflow_threshold,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37,escoxlmr_skill;escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/48b68726-0fd6-4e03-a5eb-82236516ee7a,provide cost benefit analysis reports,skill,0.300968,0.214995,0.215787,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L35;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/770d4956-b5e0-4d44-bf42-3a766b232c5d,maintain a central project repository,skill,0.547641,0.109010,0.215599,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,skill,0.239964,,0.214964,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L23;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/21c5790c-0930-4d74-b3b0-84caf5af12ea,manage budgets,skill,0.292823,0.216619,0.214480,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L35;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/8d4271ca-c9fd-40b3-875f-15f78332a49e,quality standards,knowledge,0.239318,,0.214318,low_confidence,LOW,rejected,below_overflow_threshold,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37,escoxlmr_skill;escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/772a9c72-abef-4333-9788-f4cb48ad8e08,identify software for warehouse management,skill,0.237676,,0.212676,low_confidence,LOW,rejected,WEAK_RETRIEVAL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/29154735-107a-4daa-a050-537f7707f34e,conduct content quality assurance,skill,0.235036,,0.210036,low_confidence,LOW,rejected,below_overflow_threshold,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L31,escoxlmr_skill;escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/29fb886c-6be0-4e93-9ea1-232881f2092a,plan product management,skill,0.234062,,0.209062,low_confidence,LOW,rejected,TRIPLE_FAIL_MISMATCH,BM6091_BS_MOTA_MAIN;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L35;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge
BM6091_BS,http://data.europa.eu/esco/skill/1d86f05e-e9cc-40ce-99d8-2b21cc71b16b,solution deployment,knowledge,0.232926,,0.207926,low_confidence,LOW,rejected,below_overflow_threshold,BM6091_BS_MOTA_MAIN;BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L22;BM6091_BS_BAIHOC_L24;BM6091_BS_BAIHOC_L27;BM6091_BS_BAIHOC_L30;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L38,escoxlmr_knowledge;escoxlmr_skill
BM6091_BS,http://data.europa.eu/esco/skill/5d34adde-0b78-42b4-9d3d-69e9388d8398,oversee quality control,skill,0.232226,,0.207226,low_confidence,LOW,rejected,below_overflow_threshold,BM6091_BS_CLO_None;BM6091_BS_BAIHOC_L32;BM6091_BS_BAIHOC_L36;BM6091_BS_BAIHOC_L37;BM6091_BS_BAIHOC_L31,escoxlmr_knowledge
