source_id,target_id,type
BM6001,BM6001_CLO1,CO_CLO
BM6001,BM6001_CLO2,CO_CLO
BM6001,BM6001_CLO3,CO_CLO
BM6001,BM6001_CLO4,CO_CLO
BM6001,BM6001_CLO5,CO_CLO
BM6001,BM6001_CLO1,CO_CLO
BM6001,BM6001_CLO2,CO_CLO
BM6001,BM6001_CLO3,CO_CLO
BM6001,BM6001_CLO4,CO_CLO
BM6001,BM6001_CLO5,CO_CLO
BM6091,BM6091_CLO1,CO_CLO
BM6091,BM6091_CLO2,CO_CLO
BM6091,BM6091_CLO3,CO_CLO
BM6091,BM6091_CLO4,CO_CLO
BM6091,BM6091_CLO5,CO_CLO
BM6091,BM6091_CLO1,CO_CLO
BM6091,BM6091_CLO2,CO_CLO
BM6091,BM6091_CLO3,CO_CLO
BM6091,BM6091_CLO4,CO_CLO
BM6091,BM6091_CLO5,CO_CLO
BS6001,BS6001_L1,CO_CLO
BS6001,BS6001_L2,CO_CLO
BS6001,BS6001_L1,CO_CLO
BS6001,BS6001_L2,CO_CLO
BS6018,BS6018_CLO1,CO_CLO
BS6018,BS6018_CLO2,CO_CLO
BS6018,BS6018_CLO3,CO_CLO
BS6018,BS6018_CLO4,CO_CLO
BS6018,BS6018_CLO5,CO_CLO
BS6018,BS6018_CLO1,CO_CLO
BS6018,BS6018_CLO2,CO_CLO
BS6018,BS6018_CLO3,CO_CLO
BS6018,BS6018_CLO4,CO_CLO
BS6018,BS6018_CLO5,CO_CLO
BS6019,BS6019_CLO1,CO_CLO
BS6019,BS6019_CLO2,CO_CLO
BS6019,BS6019_CLO3,CO_CLO
BS6019,BS6019_CLO4,CO_CLO
BS6019,BS6019_CLO5,CO_CLO
BS6019,BS6019_CLO1,CO_CLO
BS6019,BS6019_CLO2,CO_CLO
BS6019,BS6019_CLO3,CO_CLO
BS6019,BS6019_CLO4,CO_CLO
BS6019,BS6019_CLO5,CO_CLO
BS6020,BS6020_CLO1,CO_CLO
BS6020,BS6020_CLO2,CO_CLO
BS6020,BS6020_CLO3,CO_CLO
BS6020,BS6020_CLO4,CO_CLO
BS6020,BS6020_CLO5,CO_CLO
BS6020,BS6020_CLO1,CO_CLO
BS6020,BS6020_CLO2,CO_CLO
BS6020,BS6020_CLO3,CO_CLO
BS6020,BS6020_CLO4,CO_CLO
BS6020,BS6020_CLO5,CO_CLO
BS6021,BS6021_CLO1,CO_CLO
BS6021,BS6021_CLO2,CO_CLO
BS6021,BS6021_CLO3,CO_CLO
BS6021,BS6021_CLO4,CO_CLO
BS6021,BS6021_CLO5,CO_CLO
BS6021,BS6021_CLO1,CO_CLO
BS6021,BS6021_CLO2,CO_CLO
BS6021,BS6021_CLO3,CO_CLO
BS6021,BS6021_CLO4,CO_CLO
BS6021,BS6021_CLO5,CO_CLO
BS6038,BS6038_L1,CO_CLO
BS6038,BS6038_L2,CO_CLO
BS6038,BS6038_L1,CO_CLO
BS6038,BS6038_L2,CO_CLO
BS6042,BS6042_L1,CO_CLO
BS6042,BS6042_L3,CO_CLO
BS6042,BS6042_L2,CO_CLO
BS6042,BS6042_L1,CO_CLO
BS6042,BS6042_L3,CO_CLO
BS6042,BS6042_L2,CO_CLO
BS6050,BS6050_CLO1,CO_CLO
BS6050,BS6050_CLO2,CO_CLO
BS6050,BS6050_CLO3,CO_CLO
BS6050,BS6050_CLO4,CO_CLO
BS6050,BS6050_CLO5,CO_CLO
